Id,DayOfExperiment,ExperimentDates,StartMeasureTime,EndMeasureTime,MeasureInSeconds,2MinutesMeanEDA,ValidMeanEDA,AverageHeartRate,StartHeartRate,EndHeartRate
sub_077,16.0,2022-11-03,2022-11-03 12:07:20,2022-11-03 12:09:22,120000.0,24.60051420529684,28.729639496466127,92.0,96.0,91.0
sub_077,16.0,2022-11-03,2022-11-03 12:07:20,2022-11-03 12:09:22,120000.0,24.602161741256715,29.03424298632276,102.0,104.0,107.0
sub_077,16.0,2022-11-03,2022-11-03 12:07:20,2022-11-03 12:09:22,120000.0,25.10325886408488,29.29698751449585,85.0,95.0,83.0
sub_077,16.0,2022-11-03,2022-11-03 12:07:20,2022-11-03 12:09:22,120000.0,24.562402757008872,28.66882886591646,91.0,93.0,89.0
sub_077,16.0,2022-11-03,2022-11-03 12:07:20,2022-11-03 12:09:22,120000.0,24.69660339355469,28.81954755783081,89.0,94.0,87.0
sub_077,16.0,2022-11-03,2022-11-03 12:07:20,2022-11-03 12:09:22,120000.0,24.181809759140016,29.06530606377985,83.0,88.0,84.0
sub_077,16.0,2022-11-03,2022-11-03 12:07:20,2022-11-03 12:09:22,120000.0,24.905446815490723,29.06589624404907,88.0,91.0,88.0
sub_077,16.0,2022-11-03,2022-11-03 12:07:20,2022-11-03 12:09:22,120000.0,22.10033019736961,29.29784154410314,87.0,92.0,84.0
sub_077,16.0,2022-11-03,2022-11-03 12:07:20,2022-11-03 12:09:22,120000.0,24.85796400705973,29.30707367099061,78.0,81.0,77.0
sub_077,16.0,2022-11-03,2022-11-03 12:07:20,2022-11-03 12:09:22,120000.0,24.11618196105957,29.3132113427231,80.0,82.0,79.0
sub_077,16.0,2022-11-03,2022-11-03 12:07:20,2022-11-03 12:09:22,120000.0,24.360588709513348,28.44161590576172,97.0,105.0,97.0
sub_077,16.0,2022-11-03,2022-11-03 12:07:20,2022-11-03 12:09:22,120000.0,24.673377110407905,29.475294922337387,74.0,74.0,72.0
sub_077,16.0,2022-11-03,2022-11-03 12:07:20,2022-11-03 12:09:22,120000.0,24.885400374730427,29.08374774456024,92.0,85.0,94.0
sub_077,16.0,2022-11-03,2022-11-03 12:07:20,2022-11-03 12:09:22,120000.0,24.67523889541626,29.11029669109144,85.0,87.0,87.0
sub_077,16.0,2022-11-03,2022-11-03 12:07:20,2022-11-03 12:09:22,120000.0,16.89421246119908,29.617069346930396,83.0,82.0,82.0
sub_077,16.0,2022-11-03,2022-11-03 12:07:20,2022-11-03 12:09:22,120000.0,24.47158122062683,28.58940016363085,89.0,89.0,92.0
sub_080,8.0,2022-10-05,2022-10-06 01:04:55,2022-10-06 01:06:57,120000.0,24.56564712524414,28.679107473354147,,103.0,106.0
sub_080,8.0,2022-10-05,2022-10-06 01:04:55,2022-10-06 01:06:57,120000.0,20.547868415287564,28.829240503999376,,95.0,106.0
sub_080,8.0,2022-10-05,2022-10-06 01:04:55,2022-10-06 01:06:57,120000.0,24.101996819178265,28.41500893024483,,92.0,93.0
sub_080,8.0,2022-10-05,2022-10-06 01:04:55,2022-10-06 01:06:57,120000.0,24.536966864267985,28.941785598287776,,107.0,106.0
sub_080,8.0,2022-10-05,2022-10-06 01:04:55,2022-10-06 01:06:57,120000.0,24.992151514689127,29.207054338957136,,90.0,89.0
sub_080,8.0,2022-10-05,2022-10-06 01:04:55,2022-10-06 01:06:57,120000.0,25.19191770553589,29.406337537263568,,94.0,90.0
sub_080,8.0,2022-10-05,2022-10-06 01:04:55,2022-10-06 01:06:57,120000.0,24.887492815653484,29.095698177814484,,80.0,81.0
